group,conditions,equal_service_conditions,mean_energy_reduction_pct,basic_mean_L1,basic_mean_L2,basic_mean_L3_all_samples,basic_mean_L3_equal_service,basic_complete,basic_mean_L3_equal_service_scaled,agent_mean_L1,agent_mean_L2,agent_mean_L3_all_samples,agent_mean_L3_equal_service,agent_complete,agent_mean_L3_equal_service_scaled,WTL
T50,15,10,4.193465103239817,1.4,0.8,30777.64594541896,31660.50514419375,10,31.66050514419375,0.5333333333333333,0.4666666666666667,30254.445857595794,30248.73805513385,11,30.24873805513385,9/4/2
T100,15,5,0.45880270506783744,2.6,1.8666666666666667,54770.09581697634,58086.50711236392,3,58.08650711236392,1.2,0.8666666666666667,55223.91200583899,57802.6939109,8,57.802693910900004,11/1/3
T300,15,5,-0.2671833032146925,6.866666666666666,4.066666666666666,161599.8831713081,168016.30448728727,3,168.01630448728727,3.7333333333333334,2.8666666666666667,165428.67199912723,168561.60309363372,6,168.56160309363372,10/0/5
All,45,20,2.144637402083195,3.6222222222222222,2.2444444444444445,82382.5416445678,72355.95547200968,16,72.35595547200968,1.8222222222222222,1.4,83635.67662085399,71715.44327870035,25,71.71544327870035,30/5/10
